,ent1,ent2,relation
868,cohort study exercise electrocardiography,,found
869,47  %,negative  ECG,had
870,characteristic  curves,only prediction scores,gave
871,notably ACS Risk score,score mortality rate,helps
872,It,medical EKG history,takes
873,coronary Prevention syndrome,often  degree,reflects
874,risk factors risk aspirin,risk,controlling
875,Secondary  prevention,,discussed
876,ban,,was
877,67  %,,occurred
878,chest  discomfort,morphine,treated
879,Other  analgesics,,benefit
880,those  who,ST  elevation,recommended
881,additional oxygen oxygen,low oxygen levels,appear
882,coronary  angioplasty,changes,STEMI
883,medication  that,coronary blood arteries,injected
884,flexible  catheter,heart  blockages,passed
885,stent  lesion,myocardial culprit damage,intervened upon
886,rapid  triage,,suggest
887,Coronary Intervention PCI time,,minutes
888,thrombolysis,,found
889,typical  term,typical  changes,applied
890,patient,non-ST elevation MI,suffered
891,accepted  management,,treatment
892,heparin-like  drug,,appears
893,blood test,,performed
894,basis  this,,performed
895,thallium scintigram,,requested
896,next segment morning,urgent segment angioplasty,is
897,ACS.In cohort people,similar  risk,had
898,benzodiazepines,disabling  revascularization,had
899,Prognosis TIMI,high risk patients,score
900,patients GRACE Risk Score,,estimates in-hospital
901,,,Calculator
902,Killip classification,,consists
903,It,30-day  mortality,predicts 30-day
904,diagnosis  aim,markers  patients,identify
905,Ischemia-Modified Albumin –,transitional Ischemia – metals,undergoes
906,IMA,proportion,used
907,use,ischemia,limited
908,,Myeloperoxidase levels,–
909,Phosphorylase Isoenzyme BB-(GPBB,,marker
910,Troponin,different risk components,marker
911,Natriuretic peptide –,N-terminal Pro risk,applied
912,chemo attractive protein (MCP)-1 –,studies  patients,shown
913,who,higher  rates,shown
914,admission  which,mortality,leads
915,phenomenon,,described
916,disease Valvular heart disease,,characterized
917,types,valvular heart stenosis,include valvular
918,Oral  infections,risk,pose
919,Oral  health,,poorer
920,Most,dental plaque hygiene,suffer
921,situation,appearance,favour
922,Bacteremia,,known
923,Therefore  treatment,prior heart surgery,done
924,Periodontal  treatment,,advised
925,poor  prognosis,,amenable
926,Dental management,main  concerns,risk
927,patients  who,previously  endocarditis,likely
928,Risk,,infected
929,much should prosthesis,,higher
930,often valve those,valves  anticoagulants,stop
931,short term modification,emboli,prone
932,failure Heart failure,insufficient  blood,defined
933,condition drug drugs,series,undergoing
934,taste sensation taste diuretics,furosemide  xerostomia,produce
935,current supervising medication,current supervising condition,advised
936,medical heart failure,medical  care,receiving medical
937,stable  people,questionable  arrhythmias,limited
938,visits  which,,avoided
939,body movements body which,orthostatic  hypotension,seated
940,carpules drug combination,arrhythmias,limited
941,Aspirin,,lead
942,emergency emergency patient,nasal  oxygen,seated
943,minutes blood pressure,,indicated
944,Arrhythmia Arrhythmias,,variations
945,common  type,,fibrillation
946,anti-arrhythmic  drugs,side  effects,manifestations Many
947,arrhythmia supervising medication,current supervising condition,advised
948,patient,medication,checked
949,Stress,,reduced
950,Short  visits,,preferred
951,Patient monitoring,,indicated
952,It,very  use,important
953,treatment,,long
954,such pacemakers devices,older pacemakers models,required
955,It,therefore  type,important
956,patient vital patient signs,,suspended
957,Sublingual  nitrites,,administered
958,patient,,placed
959,dental  team,,prepared
960,= syndrome sign,arm  head,See
961,It,,used
962,It,,named
963,many  people,positive  Adson,used
964,,,is minimal
965,Thoracic outlet obstruction,,caused
966,Symptoms,overhead arm work,due
967,patient,,Process
968,deep radicular symptoms,deep itThe test,rotates
969,when age profiles,=  References,technique
970,Australian health surveys,rates,investigated
971,12  %,circulatory Indigenous problems,estimated
972,this,24 age those,note
973,Indigenous  people,fact,dominated
974,weighting  approach,informative  comparison,used
975,Older  groups,Australian reference population,weighted
976,population Indigenous Australians,higher  risk,gives
977,wide age bands,,Note
978,This,,analogous
979,age-specific  rates,,calculated
980,standard  population,,selected
981,which,standard health populations,publish standard
982,Standard  populations,,developed
983,World standard World populations,also  data,developed
984,time  which,statistics  weights,balance
985,age-adjusted  rates,standard  population,means
986,,used  standard,allows
987,Age adjustment,when  prevalences,used
988,mortality rates reference population,life expectancy,used
989,instance population we,total  number,appropriate
990,,weighting Liaw systems,Med
991,,,2645–54
992,psychoactive name that,,drug
993,It,characteristic  effects,one
994,effects  alcohol,happiness,produces
995,other  alcohols,,one
996,A mild,serious  harm,toxic
997,Methanol,,toxic
998,Alcohol,variety,has
999,adverse  effects,generalized  impairment,include
1000,Alcohol,,addictive
1001,liver damage brain consumption,variety,have
1002,when  it,,important
1003,However  some,,occur
1004,amounts  alcohol,loss,cause
1005,Alcohol,primarily  effects,works
1006,brain  alcohol,activity,neurotransmitter
1007,substance,directly  number,affects
1008,pleasurable  effects,,result
1009,body  many,also  actions,has toxic
1010,Alcohol,,produced
1011,Drinking alcohol,,acceptable
1012,,,are
1013,Alcohol,social  roles,has considerable
1014,Drinking establishments,commonly alcohol consumption,involve
1015,only  that,others,unique
1016,Its,,related
1017,Alcohol,,remains illegal
1018,,,religions
1019,Use,,consumed
1020,It,capacity  sociability,used
1021,amount,,quantified
1022,general  people,poor  judgement,stimulant-like
1023,nervous  system,impaired  cognition,acts
1024,Ethanol,,consumed
1025,Toxicity Alcohol,variety,has
1026,It,adverse  effects,reinforcement-related adverse
1027,only  that,others,is
1028,Alcohol,plethora,causes
1029,It,,associated
1030,About  one-third,United States alcohol misuse,involve
1031,Many emergency room visits,also alcohol use,involve
1032,15  %,alcohol-related  behaviors,show problematic
1033,Heavy  drinking,,associated
1034,Alcohol use,,related
1035,Automobile,41  %,found
1036,deaths  that,,associated
1037,risk,,increases
1038,Most  drunk,upper United limits,set typical
1039,Sexual assault Alcohol,sexual  assault,used
1040,50  %,rapes  alcohol,involve
1041,It,,drug
1042,Violent  crime,murders 40 alcohol,involve
1043,43  %,police  alcohol,involve
1044,Alcohol,,implicated
1045,violent 1 crimes,,estimated
1046,Alcohol,,associated
1047,Alcohol use disorder,,problem
1048,lifespan  that,,linked
1049,4  %,,estimated
1050,Deaths,,split
1051,alcohol-related  condition,,disease
1052,Alcohol dependence,,associated
1053,alcoholic  drink,day  risk,found
1054,Adverse  effects,nervous system depression,causes
1055,It,sensory memory impairment,slows
1056,,concentrations  amnesia,induce
1057,,markedly heart rate,cause anterograde
1058,Gastrointestinal effects Alcohol,amounts  varies,cause
1059,result  consumption,normally protein molecules,stimulates gastric
1060,excess  acidity,inner  lining,harm
1061,layer  that,essentially  itself,protected
1062,mucosal ulcer layer,peptic ulcer disease,broken
1063,PUD,,associated
1064,mucosal  which,weakened  barrier,secrete
1065,alcohol,PUD drinking alcohol,avoid
1066,more acid which,already-weakened stomach wall,causes more
1067,cases  presence,internal  bleeding,indicate internal
1068,who,strongly PUD aggravation,advised
1069,intestinal microbiota which,circulatory barrier integrity system,initiate systemic
1070,major  portion,,provided
1071,bacterial  that,mucosal  barrier,exposed
1072,Consequently LPS levels,,increase
1073,,,cells
1074,factors,tissue inflammation,promote
1075,reactions Ethanol-containing reactions beverages,seriously alcohol flush bronchoconstriction,cause
1076,ethanol ethanol which,alcoholic allergy beverages,occur
1077,Long-term  effects,permanent  damage,cause significant
1078,Alcoholic Korsakoff which,brain damage,cause
1079,diencephalon brain which,anterograde  amnesia,located
1080,dehydrogenases  NAD,,converted
1081,such  alcohol,fats,used
1082,alcohol means alcohol fats,,exposure
1083,fat cell stores,function,leads
1084,cells,,replaced
1085,Ethanol,,defects
1086,women alcohol who,birth risk,increases
1087,age  who,sexually birth control,recommends complete
1088,Other drinks effects,Frequent  drinking,classified
1089,Reinforcement Addiction Alcohol addiction,,termed
1090,week,health dependence,recommended
1091,Dependence,,result
1092,Alcohol withdrawal,confusion,cause
1093,cases  death,,result
1094,that,drinking alcohol detoxification regimen,condition
1095,when blood alcohol levels,0.4  %,possible
1096,blood level,,fatal
1097,Levels,%  intoxication,cause
1098,ethanol oz they,50 % risk,mean
1099,Symptoms,respiratory death Interactions sedation,include
1100,It,in vivo in cocaethylene,interacts
1101,Ethanol,bioavailability,enhances
1102,ethanol,absorption,increases
1103,enzyme acetaldehyde which,enzyme acetaldehyde dehydrogenase,inhibits
1104,alcohol alcohol use effect,commonly alcohol use disorder,used
1105,Metronidazole,,alcohol
1106,antibacterial  that,cellular  function,agent
1107,people  who,Clostridium  bacteria,given
1108,microorganisms  that,diarrhea,one
1109,who,sometimes  alcohol,advised
1110,it,actually  effect,challenged
1111,Methanol,,common
1112,result blood alcohol concentration,rate,used
1113,metabolites  ethanol,therefore  rate,toxic
1114,Ethylene glycol poisoning,,treated
1115,Pharmacology Dynamics,precise  mechanism,proven elusive
1116,Identifying,molecular  targets,proven
1117,Specifically  ethanol,actions weight effects,compound
1118,drugs  it,directly  binding,possible
1119,Instead  researchers,studies  actions,had
1120,lipids).Much subunit progress,pharmacodynamics,proteins
1121,it,ion channels ion effects,appears
1122,Ethanol,assays  activity,found
1123,extent  each,,found
1124,case  ethanol,long  similarity,shown
1125,Indeed  ethanol,receptor-mediated  currents,found
1126,primary  mechanism,,theorized
1127,diverse  actions,,involved
1128,Recently  study,accumulation,showed
1129,indirect  metabolite,primary  targets,presents
1130,GABAA receptors GABAA role,ethanol  PIP2,known
1131,ethanol,mM GABAA concentrations,discovered
1132,100  that,higher  concentrations, 
1133,Ro15,competitively benzodiazepine antagonist it,found
1134,addition  Ro15,4513  enhancement,blocked
1135,accordance  drug,many,found
1136,which subunit it,receptor,Taken
1137,reinforcing  effects,,mediated
1138,ethanol  it,central  role,appears
1139,reward pathway reward which,ventral tegmental area,mediated
1140,One,,inhibition
1141,doses  ethanol,ligand-gated ion channels,inhibits
1142,alcohol consumption alcohol dopamine,turn  activation,released
1143,kinase A protein kinase which,CREB-mediated element binding changes,triggers postsynaptic
1144,adaptive phosphorylation downregulation,also NMDA receptor function,induces
1145,Chronic  consumption,,associated
1146,nucleus  accumbens,compulsive alcohol consumption,induce
1147,Relationship,ethanol 2 effects,produce
1148,mM 5 which,acuity  anxiety,produce measurable
1149,incoordination 15 that,,result
1150,mM 20 depression,,mM.
1151,Levels,,experienced
1152,Concentrations,mM 100 death,cause
1153,List,following system actions,reported
1154,allosteric GIRK channel openerSome,,dose-dependent
1155,effects,,seems
1156,e.g.  it,,taken
1157,oral  bioavailability,,%
1158,,,administered
1159,Blood alcohol concentrations,amount,estimated
1160,circulating  levels,,reached
1161,important  that,absorption,factor
1162,absorption,,rapid
1163,regardless ethanol food,,similar
1164,food  fat,,type
1165,ethanol  it,also  bioavailability,slow
1166,who,peak ethanol concentrations,found
1167,ingestion  ethanol,,distributed
1168,It,,distributed
1169,such  ethanol,primarily  brain,affects
1170,more  ethanol,more  time,require more
1171,,biological Ethanol membranes,crosses biological
1172,volume,,L/kg
1173,only plasma protein,,weakly
1174,Metabolism,,occurs
1175,alcohol dehydrogenase enzyme alcohol which,ethanol,occurs
1176,acetate enzyme aldehyde which,,metabolized
1177,Acetate,coenzyme A coenzyme acetyl-CoA,combines
1178,body alcohol dehydrogenase,,present
1179,,,route
1180,ethanol  MEOS,acute  concentrations,inducible
